healthBin,account,borrowUSD,pctAccount,pctBorrowUSD,date
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-18
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-18
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-18
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-18
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-18
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-18
"(7.5, 8.0]",1,0.0708317914980307,14.285714285714285,0.0008143602757598328,2019-05-18
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-18
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-18
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-18
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-18
"(10.0, inf]",1,4.0740375677060464e-05,14.285714285714285,4.6839622250486996e-07,2019-05-18
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-19
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-19
"(1.0, 1.5]",2,7399.6655486770405,33.33333333333333,84.26701675560375,2019-05-19
"(1.5, 2.0]",1,1380.744520390776,16.666666666666664,15.723848715808458,2019-05-19
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-19
"(2.5, 3.0]",1,0.7257015710476644,16.666666666666664,0.008264252761798778,2019-05-19
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-19
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-19
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-19
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-19
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-19
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-19
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-19
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-19
"(7.0, 7.5]",1,0.07638002655622247,16.666666666666664,0.0008698118766675048,2019-05-19
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-19
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-19
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-19
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-19
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-19
"(10.0, inf]",1,4.0740375677060464e-05,16.666666666666664,4.6394933625374894e-07,2019-05-19
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-20
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-20
"(1.0, 1.5]",4,8914.543526566711,57.14285714285714,99.99100855476331,2019-05-20
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-20
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-20
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-20
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-20
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-20
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-20
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-20
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-20
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-20
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-20
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-20
"(7.0, 7.5]",1,0.07530297568432677,14.285714285714285,0.0008446445365835306,2019-05-20
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-20
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-20
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-20
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-20
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-20
"(10.0, inf]",2,0.7263154006829627,28.57142857142857,0.00814680070008215,2019-05-20
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-21
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-21
"(1.0, 1.5]",3,14729.247624738297,37.5,91.0569725534255,2019-05-21
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-21
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-21
"(2.5, 3.0]",1,930.760760513894,12.5,5.754011283072915,2019-05-21
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-21
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-21
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-21
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-21
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-21
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-21
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-21
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-21
"(7.0, 7.5]",1,0.07700153545110522,12.5,0.0004760274848232437,2019-05-21
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-21
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-21
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-21
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-21
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-21
"(10.0, inf]",3,515.7737612817323,37.5,3.1885401360167696,2019-05-21
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-22
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-22
"(1.0, 1.5]",4,14654.045511254531,44.44444444444444,83.98056458571212,2019-05-22
"(1.5, 2.0]",1,2303.358527626595,11.11111111111111,13.200269471309692,2019-05-22
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-22
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-22
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-22
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-22
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-22
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-22
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-22
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-22
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-22
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-22
"(7.0, 7.5]",1,0.073824349375689,11.11111111111111,0.0004230784281365631,2019-05-22
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-22
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-22
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-22
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-22
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-22
"(10.0, inf]",3,491.8517329028292,33.33333333333333,2.818742864550055,2019-05-22
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-23
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-23
"(1.0, 1.5]",16,986986.6356753465,57.14285714285714,82.1107667914107,2019-05-23
"(1.5, 2.0]",1,2679.3327553807985,3.571428571428571,0.22290278214671466,2019-05-23
"(2.0, 2.5]",2,1882.72554290633,7.142857142857142,0.1566303254755157,2019-05-23
"(2.5, 3.0]",1,2.459757722769062,3.571428571428571,0.00020463559022707736,2019-05-23
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-23
"(3.5, 4.0]",1,4881.22208427074,3.571428571428571,0.4060854258116575,2019-05-23
"(4.0, 4.5]",1,155067.88117841145,3.571428571428571,12.900623137177877,2019-05-23
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-23
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-23
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-23
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-23
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-23
"(7.0, 7.5]",1,0.07392804892726429,3.571428571428571,6.150325207450247e-06,2019-05-23
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-23
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-23
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-23
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-23
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-23
"(10.0, inf]",5,50518.20360533766,17.857142857142858,4.202780752062109,2019-05-23
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-24
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-24
"(1.0, 1.5]",23,998485.3018915402,50.0,43.027127373028776,2019-05-24
"(1.5, 2.0]",3,6162.671263554894,6.521739130434782,0.2655642911445517,2019-05-24
"(2.0, 2.5]",4,5783.728519112475,8.695652173913043,0.24923473907070437,2019-05-24
"(2.5, 3.0]",2,5002.844488132211,4.3478260869565215,0.21558457256259325,2019-05-24
"(3.0, 3.5]",2,1539.4598554996264,4.3478260869565215,0.06633901887465342,2019-05-24
"(3.5, 4.0]",2,25807.651424978514,4.3478260869565215,1.112113621460096,2019-05-24
"(4.0, 4.5]",1,156993.72075183317,2.1739130434782608,6.7652361098937766,2019-05-24
"(4.5, 5.0]",1,1050335.1026210845,2.1739130434782608,45.26145969222259,2019-05-24
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-24
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-24
"(6.0, 6.5]",1,11.400793155142662,2.1739130434782608,0.0004912875315346032,2019-05-24
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-24
"(7.0, 7.5]",1,0.07480908361098271,2.1739130434782608,3.22370290588309e-06,2019-05-24
"(7.5, 8.0]",1,69872.18915246052,2.1739130434782608,3.0109602783335174,2019-05-24
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-24
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-24
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-24
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-24
"(10.0, inf]",5,600.7043600605678,10.869565217391305,0.025885792174302185,2019-05-24
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-25
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-25
"(1.0, 1.5]",28,981527.1558044737,45.16129032258064,28.4333669882976,2019-05-25
"(1.5, 2.0]",7,17944.985029282732,11.29032258064516,0.5198392544920525,2019-05-25
"(2.0, 2.5]",7,55872.1250515856,11.29032258064516,1.6185315165383511,2019-05-25
"(2.5, 3.0]",3,2086061.950081697,4.838709677419355,60.430080447832566,2019-05-25
"(3.0, 3.5]",3,1852.5975297588298,4.838709677419355,0.053666966964426695,2019-05-25
"(3.5, 4.0]",2,25865.41764622868,3.225806451612903,0.7492822871905472,2019-05-25
